file,entity_type,en_field,ua_field,state,ua_status,ua_drafted_by,draft_revision,en_chars,ua_chars,mtime_days,defer,note
knowledge_base/hosted/content/biomarkers/bio_pap_cytology_cervical.yaml,biomarkers,notes,notes_ua,missing,,,,397,0,49,,
knowledge_base/hosted/content/biomarkers/bio_pdgfra.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,547,602,56,,
knowledge_base/hosted/content/biomarkers/bio_pdl1_22c3_clone.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,448,414,56,,
knowledge_base/hosted/content/biomarkers/bio_pdl1_28_8_clone.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,396,399,56,,
knowledge_base/hosted/content/biomarkers/bio_pdl1_expression.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,808,1004,56,,
knowledge_base/hosted/content/biomarkers/bio_pdl1_sp142_clone.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,510,500,56,,
knowledge_base/hosted/content/biomarkers/bio_pdl1_sp263_clone.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,402,395,56,,
knowledge_base/hosted/content/biomarkers/bio_pdl1_tps.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,119,119,56,,
knowledge_base/hosted/content/biomarkers/bio_pik3ca_h1047r.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,435,613,56,,
knowledge_base/hosted/content/biomarkers/bio_pik3ca_mutation.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,178,182,56,,
knowledge_base/hosted/content/biomarkers/bio_pik3r1.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,1369,395,56,,
knowledge_base/hosted/content/biomarkers/bio_pms2_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v03_germline,1,142,87,50,,
knowledge_base/hosted/content/biomarkers/bio_pold1_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,444,211,49,,
knowledge_base/hosted/content/biomarkers/bio_pold1_hypermutator.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,328,346,56,,
knowledge_base/hosted/content/biomarkers/bio_pole_germline.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_v05_germline_batch3,1,460,212,49,,
knowledge_base/hosted/content/biomarkers/bio_pole_hypermutator.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,617,720,56,,
knowledge_base/hosted/content/biomarkers/bio_progesterone_receptor.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,161,160,56,,
knowledge_base/hosted/content/biomarkers/bio_psa.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,199,328,56,,
knowledge_base/hosted/content/biomarkers/bio_psa_prostate_screening.yaml,biomarkers,notes,notes_ua,drafted_pending,pending_clinical_signoff,claude_surveillance_2026_05_18,1,1136,343,49,,
knowledge_base/hosted/content/biomarkers/bio_psma_pet.yaml,biomarkers,notes,notes_ua,drafted_v2plus,pending_clinical_signoff,claude_ua_02,2,170,180,56,,
